full_name;osm_name;tag;memory;st_wiki;hero_wiki
улица Маршала Прошлякова;улица Маршала Прошлякова;;Прошляков Алексей Иванович;https://ru.wikipedia.org/wiki/Улица_Маршала_Прошлякова;https://ru.wikipedia.org/wiki/Прошляков,_Алексей_Иванович
улица Маршала Рыбалко;улица Маршала Рыбалко;полководец;Рыбалко Павел Семёнович;https://ru.wikipedia.org/wiki/Улица_Маршала_Рыбалко_(Москва);https://ru.wikipedia.org/wiki/Рыбалко,_Павел_Семёнович
улица Маршала Соколовского;улица Маршала Соколовского;полководец;Соколовский Василий Данилович;https://ru.wikipedia.org/wiki/Улица_Маршала_Соколовского;https://ru.wikipedia.org/wiki/Соколовский,_Василий_Данилович
улица Маршала Тимошенко;улица Маршала Тимошенко;полководец;Тимошенко Семён Константинович;https://ru.wikipedia.org/wiki/Улица_Маршала_Тимошенко_(Москва);https://ru.wikipedia.org/wiki/Тимошенко,_Семён_Константинович
улица Маршала Федоренко;улица Маршала Федоренко;;Федоренко Яков Николаевич;https://ru.wikipedia.org/wiki/Улица_Маршала_Федоренко;https://ru.wikipedia.org/wiki/Федоренко,_Яков_Николаевич
улица Маршала Чуйкова;улица Маршала Чуйкова;;Чуйков Василий Иванович;https://ru.wikipedia.org/wiki/Улица_Маршала_Чуйкова_(Москва);https://ru.wikipedia.org/wiki/Чуйков,_Василий_Иванович
улица Маши Порываевой;улица Маши Порываевой;партизан;Порываева Мария Григорьевна;https://ru.wikipedia.org/wiki/Улица_Маши_Порываевой;https://ru.wikipedia.org/wiki/Порываева,_Мария_Григорьевна
улица Медведева;улица Медведева;;Медведев Дмитрий Николаевич;https://ru.wikipedia.org/wiki/Улица_Медведева_(Москва);https://ru.wikipedia.org/wiki/Медведев,_Дмитрий_Николаевич
улица Милашенкова;улица Милашенкова;лётчик;Милашенков Сергей Васильевич;https://ru.wikipedia.org/wiki/Улица_Милашенкова;https://ru.wikipedia.org/wiki/Милашенков,_Сергей_Васильевич
улица Молодогвардейская;Молодогвардейская улица;партизан;Молодая гвардия;https://ru.wikipedia.org/wiki/Молодогвардейская_улица_(Москва);https://ru.wikipedia.org/wiki/Молодая_гвардия_(подпольная_организация)
улица Молодцова;улица Молодцова;партизан;Молодцов Владимир Александрович;https://ru.wikipedia.org/wiki/Улица_Молодцова;https://ru.wikipedia.org/wiki/Молодцов,_Владимир_Александрович
улица Наташи Качуевской;улица Наташи Качуевской;;Качуевская Наталья Александровна;https://ru.wikipedia.org/wiki/Улица_Наташи_Качуевской;https://ru.wikipedia.org/wiki/Качуевская,_Наталья_Александровна
улица Николая Химушина;улица Николая Химушина;лётчик;Химушин Николай Фёдорович;https://ru.wikipedia.org/wiki/Улица_Николая_Химушина;https://ru.wikipedia.org/wiki/Химушин,_Николай_Фёдорович
улица Пивченкова;улица Пивченкова;партизан;Пивченков Владимир Тимофеевич;https://ru.wikipedia.org/wiki/Улица_Пивченкова;https://ru.wikipedia.org/wiki/Пивченков,_Владимир_Тимофеевич
улица Годовикова;улица Годовикова;;Годовиков Сергей Константинович;https://ru.wikipedia.org/wiki/Улица_Годовикова_(Москва);https://ru.wikipedia.org/wiki/Годовиков,_Сергей_Константинович
улица Снайперская;Снайперская улица;;Школа снайперов;https://ru.wikipedia.org/wiki/Снайперская_улица_(Москва);
улица Татьяны Макаровой;улица Татьяны Макаровой;лётчик;Макарова Татьяна Петровна;https://ru.wikipedia.org/wiki/Улица_Татьяны_Макаровой;https://ru.wikipedia.org/wiki/Макарова,_Татьяна_Петровна
улица Толбухина;улица Толбухина;полководец;Толбухин Фёдор Иванович;https://ru.wikipedia.org/wiki/Улица_Толбухина_(Москва);https://ru.wikipedia.org/wiki/Толбухин,_Фёдор_Иванович
улица Фёдора Полетаева;улица Фёдора Полетаева;партизан;Полетаев Фёдор Андрианович;https://ru.wikipedia.org/wiki/Улица_Фёдора_Полетаева;https://ru.wikipedia.org/wiki/Полетаев,_Фёдор_Андрианович
улица Черняховского;улица Черняховского;полководец;Черняховский Иван Данилович;https://ru.wikipedia.org/wiki/Улица_Черняховского_(Москва);https://ru.wikipedia.org/wiki/Черняховский,_Иван_Данилович
улица Шеногина;улица Шеногина;партизан;Шеногин Федор Михайлович;https://ru.wikipedia.org/wiki/Улица_Шеногина;
улица Юлиуса Фучика;улица Юлиуса Фучика;антифашист;Фучик Юлиус;https://ru.wikipedia.org/wiki/Улица_Юлиуса_Фучика_(Москва);https://ru.wikipedia.org/wiki/Фучик,_Юлиус
улица Наташи Ковшовой;улица Наташи Ковшовой;снайпер;Ковшова Наталья Венедиктовна;https://ru.wikipedia.org/wiki/Улица_Наташи_Ковшовой;https://ru.wikipedia.org/wiki/Ковшова,_Наталья_Венедиктовна
улица Головачёва;улица Головачёва;;Головачёв Александр Алексеевич;https://ru.wikipedia.org/wiki/Улица_Головачёва;https://ru.wikipedia.org/wiki/Головачёв,_Александр_Алексеевич
улица Степана Шутова;улица Степана Шутова;;Шутов Степан Фёдорович;https://ru.wikipedia.org/wiki/Улица_Степана_Шутова;https://ru.wikipedia.org/wiki/Шутов,_Степан_Фёдорович
улица Слепнёва;улица Слепнёва;;Слепнёв Маврикий Трофимович;https://ru.wikipedia.org/wiki/Улица_Слепнёва_(Москва);https://ru.wikipedia.org/wiki/Слепнёв,_Маврикий_Трофимович
улица Анатолия Живова;улица Анатолия Живова;;Живов Анатолий Павлович;https://ru.wikipedia.org/wiki/Улица_Анатолия_Живова;https://ru.wikipedia.org/wiki/Живов,_Анатолий_Павлович
улица Сергея Макеева;улица Сергея Макеева;танкист;Макеев Сергей Фёдорович;https://ru.wikipedia.org/wiki/Улица_Сергея_Макеева;https://ru.wikipedia.org/wiki/Макеев,_Сергей_Фёдорович
улица Матросова;улица Матросова;;Матросов Александр Матвеевич;https://ru.wikipedia.org/wiki/Улица_Матросова_(Москва);https://ru.wikipedia.org/wiki/Матросов,_Александр_Матвеевич
